Id_cliente;Nome;Telefone;CPF;Rua;Bairro
1;Bruna Ramos;(18) 92233-7225;252.710.751-68;Rui Barbosa;Centro
2;Kaique da Costa;(19) 93287-8232;950.236.120-23;Jose Bonifacio;Vila Nova
3;Livia Moreira;(19) 93543-5952;180.057.517-37;Sao Jorge;Bela Vista
4;Leticia Peixoto;(11) 92518-5291;434.295.836-83;Castro Alves ;Boa Vista
5;Pedro Henrique da Paz;(18) 93701-6724;251.285.523-65;Pacifico Moneda;Centro
6;Pedro Henrique Farias;(18) 93631-3277;814.186.838-17;Sete de Setembro;Planalto
7;Kaique da Cruz;(19) 92791-0146;482.312.268-26;Santo Antonio;Sao Cristovao
8;Esther Vieira;(19) 92742-7817;678.713.433-94;Sao Pedro;Boa Vista
9;Emilly da Paz;(15) 93946-5879;678.729.375-57;Dom Pedro II;Vila Nova
10;Leticia Fernandes;(11) 92701-1672;844.337.174-95;Tiradentes;Centro
11;Alana Duarte;(17) 93694-7783;083.791.130-39;Duque de Caxias;Bela Vista
12;Enzo Gabriel Viana;(19) 93695-3755;716.856.809-41;Sao Pedro;Sao Cristovao
